"","country","emissions_tons","population_2022","per_capita_tons","share_percent","change_percent","emissions_per_million"
"190","Western Sahara",241500,568739,0.42,0.00063,0.16,424623.597115724
"191","Vanuatu",218140,313046,0.7,0.00057,2.33,696830.497754324
"192","Tonga",166860,105042,1.59,0.00043,2.33,1588507.45416119
"193","Sao Tome & Principe",157900,226305,0.7,0.00041,-6.33,697730.938335432
"194","Grenada",122490,116913,1.05,0.00032,3.9,1047702.13748685
"195","Cook Islands",107800,14723,7.32,0.00028,2.35,7321877.33478231
"196","Saint Kitts & Nevis",101920,46709,2.18,0.00026,3.92,2182020.59560256
"197","Turks and Caicos",88360,45847,1.93,0.00023,3.9,1927279.86564006
"198","St. Vincent & Grenadines",82790,102046,0.81,0.00021,3.9,811300.785920075
"199","Kiribati",73960,130469,0.57,0.00019,2.31,566877.955682959
"200","Dominica",68810,66826,1.03,0.00018,3.83,1029689.04318678
"201","British Virgin Islands",64670,38319,1.69,0.00017,3.92,1687674.52177771
"202","Saint Pierre & Miquelon",37110,5732,6.47,9.6e-05,-1.46,6474180.0418702
"203","Anguilla",22810,14180,1.61,5.9e-05,3.63,1608603.66713681
"204","Falkland Islands",21770,3490,6.24,5.7e-05,0.14,6237822.3495702
"205","Saint Helena",17900,5343,3.35,4.6e-05,12.3,3350177.80273255
"206","Faeroe Islands",2110,54011,0.04,5.5e-06,0.48,39066.1161615227
